# id ud_raw uq_raw vdc error_code ud_hi uq_hi du_d_next du_q_next ud_lim uq_lim scale limited sat_flag
000004f3 5bd51ca89c 299da5360b 08c1307 0 008497153c 003c160471 5b50859360 29618f319a 0424b8b 01e0b02 001719ea0 1 1
000004f4 5f5f9c5667 123b9e0476 0097c3b 0 0009ae9a5e 0001d9d7d9 5f55edbc09 1239c42c9d 004d74d 000ecec 00019fd07 1 1
000004f5 ee15044d93 f3b8863c96 0e2e897 0 ff3d7bb284 ff7ab26b62 eed7889b0f f43dd3d134 19ebdd9 1bd5936 00adb2301 1 1
000004f6 74ab8eff8c 4598ae4a22 0b10c81 0 009e0412fe 005e42960b 740d8aec8e 453a6bb417 04f0209 02f214b 0015ab8c2 1 1
000004f7 00b9a51a03 9313cd0031 06e7966 0 0000c3abf5 ff8d31c2ce 00b8e16e0e 93869b3d63 00061d6 1c698e1 0010dd3a2 1 1
000004f8 ccacb61839 1add026204 0e435d0 0 ff2de0a78f 006dfa00f7 cd7ed570aa 1a6f08610d 196f054 036fd00 004180be2 1 1
000004f9 7e6ef83933 5ea8d496c9 0a6d553 0 008aca30e7 0067e91a61 7de42e084c 5e40eb7c68 0456518 033f48d 0011904d4 1 1
000004fa 4bf70ab5c9 2a4352795e 03ef405 0 00392baf67 001fce889e 4bbddf0662 2a2383f0c0 01c95d8 00fe744 000c0a9dc 1 1
000004fb 065312430d 2e8698278d 0e70c3d 0 0020579e4d 00edec7b26 0632baa4c0 2d98abac67 0102bcf 076f63e 0051d2275 1 1
000004fc 47d3979209 cbe9a39fde 014d45f 0 0011861deb fff34abf11 47c211741e cbf658e0cd 008c30f 1f9a560 0003e7529 1 1
000004fd 7496abd473 e09c8edfda 07c66f8 0 007cd666c3 ffde64078f 7419d56db0 e0be2ad84b 03e6b33 1ef3204 001121cd8 1 1
000004fe 977c2b2061 6a002df1c1 08aa89c 0 ff9ad42a5a 00669c0399 97e156f607 699991ee28 1cd6a15 0334e02 000f7cf50 1 1
000004ff cf76badd58 135086e408 0566477 0 ffac94aaef 0021322aa8 cfca263269 132f54b960 1d64a55 0109915 001b7fcd5 1 1
00000500 3f36971ca0 96cd5d2247 0e4d0e2 0 007a7a59ad ff342ceca8 3ebc1cc2f3 979930359f 03d3d2d 19a1676 001f0025b 1 1
00000501 9f2385fe1c 2c4064d1ae 020b079 0 ffe119a5bf 000e1de24b 9f426c585d 2c3246ef63 1f08cd3 0070ef1 00051aab7 1 1
00000502 341a7d5c8d ccffb8d9d8 01cca0f 0 0015617520 ffeb125927 34051be76d cd14a680b1 00ab0bb 1f5892d 000690cbd 1 1
00000503 ee1bff18c6 562f7a9303 0f93fbd 0 ffcb5a4b02 00fd9ed40d ee50a4cdc4 5531dbbef6 1e5ad26 07ecf6a 002f156a8 1 1
00000504 8e4d9d5a48 403018e416 0745cf2 0 ff96b1cffb 003b735363 8eb6eb8a4d 3ff4a590b3 1cb58e8 01db9aa 000ed1b1d 1 1
00000505 bec6873576 67e09ebf45 06930ff 0 ffc5de6105 005c94abe5 bf00a8d471 67840a1360 1e2ef31 02e4a56 000e428f5 1 1
00000506 7a69d450b9 15e3027506 0fc53f0 0 01022224c1 002e2713db 7967b22bf8 15b4db612b 0811112 017138a 0021bd3e5 1 1
00000507 abbd458639 4134c29c0b 04ac2d7 0 ffc28e3e80 002f8ca7c4 abfab747b9 410535f447 1e1471f 017c654 000baae02 1 1
00000508 3e4246678f f159237a3b 04e390d 0 004f213eb4 ffed60b9f2 3df32528db f16bc2c049 027909f 1f6b05d 001455f03 1 1
00000509 3567bb16bc 45b9ddf434 0a7224a 0 00699d649e 0089e4212e 34fe1db21e 452ff9d306 034ceb2 044f211 001fa44d9 1 1
0000050a 3b4c0929c5 1611668d80 08888c8 0 0084fae5de 00317d66c7 3ac70e43e7 15dfe926b9 0427d73 018beb3 0023e1bae 1 1
0000050b 52d6f6f4ee 0c885a8e7a 09f918c 0 00a3f674db 0018ce387a 5233008013 0c6f8c5600 051fb3a 00c671c 001fab1e5 1 1
0000050c 001a382de1 ebaacd77c1 0483517 0 000060c39d ffb4f5f99d 0019d76a44 ebf5d77e24 0003062 1da7afd 003b0c7ae 1 1
0000050d faf1e04523 a59e55c2ef 0eba7e4 0 fff252defa ff0b7b409e faff8d6629 a692da8251 1f9296f 185bda0 002b49567 1 1
0000050e 33f6c91475 22b58f33e3 0784432 0 0067ee91ec 00456bc93d 338eda8289 2270236aa6 033f749 022b5e5 0020004ec 1 1
0000050f a61a98b45c 689f4feb5d 09a6894 0 ff976c3910 0079b55bc8 a6832c7b4c 68259a8f95 1cbb61d 03cdaae 00129ced7 1 1
00000510 66d75b80ec e4f7822a21 0a45aa9 0 00a530a8e0 ffd493dee1 66322ad80c e522ee4b40 0529854 1ea49ef 0019b340d 1 1
00000511 b6ffc45a9c 78ef1800d1 0bf0273 0 ff996a8f02 00a9f0f03e b76659cb9a 7845271093 1ccb548 054f878 00167bdc5 1 1
00000512 4546329352 a076c486a5 0e4c083 0 008b8d2a42 ff3f8b6c86 44baa56910 a137391a1f 045c695 19fc5b6 00203b4e2 1 1
00000513 dcb96b7322 f7f8631bd6 0ba7c30 0 ff430864ed ffd4fc5ba5 dd76630e35 f82366c031 1a18432 1ea7e2e 0055b5b8d 1 1
00000514 7a576c7739 f22f44a1b6 07ba5bf 0 007fafc805 fff194bf36 79d7bcaf34 f23dafe280 03fd7e4 1f8ca60 0010b2f4b 1 1
00000515 a30837eac6 1d0ac74d40 008861c 0 fff78b7191 0002a42ebc a310ac7935 1d08231e84 1fbc5b9 0015217 000174868 1 1
00000516 064e96de97 acfefbaf59 0e36de0 0 0011e847cc ff1453f83a 063cae96cb adeaa7b71f 008f424 18a29fc 002d6db6e 1 1
00000517 ae323a083a f9407459d3 0278a84 0 ffd70bfc5a fffc9f24f2 ae5b2e0be0 f943d534e1 1eb85fe 1fe4f92 000802915 1 1
00000518 3f4c9204d5 1d3ac4e220 0fdd044 0 00ef78dd51 006e94b066 3e5d192784 1ccc3031ba 077bc6f 0374a58 003c87eb8 1 1
00000519 bb0e5bdc55 031dbcb50c 0dc3aa7 0 ff1b5d57a1 000a557f54 bbf2fe84b4 03136735b8 18daeac 0052ac0 00350f5e4 1 1
0000051a 23f204058d aad0ff7596 07153b9 0 002dc9a1ec ff937dfdfb 23c43a63a1 ab3d81779b 016e4d1 1c9beff 001461881 1 1
0000051b cdb8f5d1ed b4cd2fa675 08c6207 0 ffaee9a3d5 ff86b85dd5 ce0a0c2e18 b5467748a0 1d774d2 1c35c2f 0019ce031 1 1
0000051c 50adef0bfa 9a526a9c50 0acbb96 0 006f941681 ff7361779a 503e5af579 9adf0924b6 037ca0b 1b9b0bc 001620b54 1 1
0000051d 21551e5698 18da614670 0d12b23 0 00ae44146d 0081ef387a 20a6da422b 1858720df6 057220a 040f79c 0053a6566 1 1
0000051e e58cf7ce52 282d1ff82a 09ada8e 0 ffa782862b 00866a62f5 e5e5754827 27a6b59535 1d3c143 0433531 003587c41 1 1
0000051f 47f913a684 49744f55c4 0d859a3 0 009d5b49df 00a0986acb 475bb85ca5 48d3b6eaf9 04eada5 0504c35 0022fb34a 1 1
00000520 691275117f 0067762d42 00ec485 0 000f58cd1d 00000f1c95 69031c4462 00676710ad 007ac67 000078e 000256438 1 1
00000521 b37438c6d2 f9c72e1c0e 05f3311 0 ff9d641a41 fff7fc1451 b3d6d4ac91 f9cf3207bd 1ceb20d 1fbfe0a 00149c989 1 1
00000522 6bd7ebed72 5f1728e6c0 08f704c 0 006fcf1309 0062964421 6b681cda69 5eb492a29f 037e78a 0314b22 0010969c8 1 1
00000523 0bed1ccf3b 96208d3eef 0dff627 0 001a0dafc5 ff18b713ab 0bd30f1f76 9707d62b44 00d06d8 18c5b8a 0022f3ee0 1 1
00000524 d394e139b0 7d99cd9df8 0cd509b 0 ffb8dc2725 00c9292356 d3dc05128b 7cd0a47aa2 1dc6e14 0649492 0019a01a8 1 1
00000525 1bacd16c64 a501d7c6a5 0bd2561 0 003932a148 ff43f087be 1b739ecb1c a5bde73ee7 01c9951 1a1f844 00211174a 1 1
00000526 9c7f2cd237 362834379f 0727780 0 ff97841b9c 0038de30b8 9ce7a8b69b 35ef5606e7 1cbc20e 01c6f18 0010cd078 1 1
00000527 d8e82e9a78 064f8209a4 0eb8f57 0 ff0e53d31e 0027030b8e d9d9dac75a 06287efe16 18729ea 0138186 0062e9689 1 1
00000528 bb96a6200e 748bd1a499 07a71cc 0 ffbf958b48 006dbd35df bbd71094c6 741e146eba 1dfcac6 036de9b 000f10c44 1 1
00000529 d6df0bd3e8 d1da3dca56 061cd15 0 ffbc602af1 ffb41fad1c d722aba8f7 d2261e1d3a 1de3015 1da0fd7 001a4eb14 1 1
0000052a 667eadec1f 19779bc642 05e88a2 0 005f57dc3b 0017b0b2f3 661f560fe4 195feb134f 02fabee 00bd859 000ee2330 1 1
0000052b 39be74c7d5 43e6065c56 0f24827 0 00a31e6904 00bfcdd5c2 391b565ed1 4326388694 0518f35 05fe6eb 002d32a35 1 1
0000052c 18f9a8a271 2ee1c2c964 0d09ccd 0 0065ee7645 00bf56d443 1893ba2c2c 2e226bf521 032f73b 05fab6a 00414d04f 1 1
0000052d 4eed317527 4e11e3aa7e 0ae1cc7 0 0080a466dd 007f3ef579 4e6c8d0e4a 4d92a4b505 0405233 03f9f7b 001a140fd 1 1
0000052e 2f8aceb8b6 fc789f1144 041faa5 0 0044611e0b fffaecae98 2f466d9aab fc7db262ac 022308f 1fd7657 001703398 1 1
0000052f fd9d8d1677 b75a04093e 0a5b198 0 fffa59de94 ff53e61239 fda33337e3 b8061df705 1fd2cef 1a9f309 0025e7455 1 1
00000530 04fb6e6a2c 6fc44c6421 0085e46 0 0000632479 0008b01b08 04fb0b45b3 6fbb9c4919 0003192 004580e 00013e647 1 1
00000531 285c2e8971 12a331cbb9 00fd3e0 0 000eeee9b1 0006e55835 284d3f9fc0 129c4c7384 0077775 00372ac 0005eb85b 1 1
00000532 d97f9adfec 85a059069d 0726bca 0 ffdc5017fa ff8e925af3 d9a34ac7f2 8611c6abaa 1ee280c 1c7492d 000ed4969 1 1
00000533 7086fbb36b 9359cfbf72 0015bf2 0 00010420da ffff04d62f 7085f79291 935acae943 0008210 1ff826b 000024fcb 1 1
00000534 5c097d5ffd 4a74145eb7 050c71a 0 004143f2c5 0034cbe753 5bc8396d38 4a3f487764 020a1f9 01a65f4 000b588f5 1 1
00000535 23f204f9c3 940503dec5 020ec11 0 000ace6a15 ffdf89a7d5 23e7368fae 94257a36f0 0056735 1efc4d4 0004cf62b 1 1
00000536 9fadee6ded 19e2f24ace 078c786 0 ff86c8a0c5 002093cb8d a02725cd28 19c25e7f41 1c36450 01049e6 001422ae9 1 1
00000537 a4ee7d3a0e 12ed2bf180 0bd682d 0 ff3f47cfbe 00280d6176 a5af356a50 12c51e900a 19fa3e8 01406b1 0021dbfab 1 1
00000538 60799ffeed 5a28f3b683 0f0be8c 0 00b6caabb9 00aad38e22 5fc2d55334 597e202861 05b6556 05569c7 001e50b46 1 1
00000539 cf4d0730aa 7b2bc3185e 0bece7c 0 ffb7176c15 00b866e4f7 cf95efc495 7a735c3367 1db8bb6 05c3372 0017f4363 1 1
0000053a d228b107cb 6ee445c9bd 084cb14 0 ffcb475afc 007f890768 d25d69accf 6e64bcc255 1e5a3ad 03fc484 001266c35 1 1
0000053b 0bf2f37d87 a8bed1b197 0875060 0 00131451ac ff74ad8da5 0bdfdf2bdb a94a2423f2 0098a29 1ba56c7 00198c34c 1 1
0000053c 39d7fb964c 7aefb428ec 09687a1 0 004299f612 008d8ca02c 399561a03a 7a622788c0 0214cfb 046c650 00126c25f 1 1
0000053d e376829818 76533782f7 0830a61 0 ffe0126699 008462b6c1 e39670317f 75ced4cc36 1f00933 042315b 0011e6ba0 1 1
0000053e 7e6d53f900 89a3b78911 0f8df47 0 00bcce9c94 ff4f3d575a 7db0855c6c 8a547a31b7 05e674e 1a79eac 0017e4fee 1 1
0000053f 174e043f7c a753e50b28 0bcdfc1 0 0031e48715 ff4229ca6c 171c1fb867 a811bb40bc 018f244 1a114e5 0022410bc 1 1
00000540 e32fbab7ca c067dc2fdc 0a16600 0 ffbac721ef ff673856a0 e374f395db c100a3d93c 1dd6391 1b39c2b 0026704b5 1 1
00000541 621f44bad8 461fd0c14c 0c442f0 0 00a5f0b00c 00769761c6 6179540acc 45a9395f86 052f858 03b4bb1 001b0efd3 1 1
00000542 f9ef9dc323 1188f8d8d2 04904b3 0 ffe732fd40 0047b7348e fa086ac5e3 114141a444 1f3997f 023db9a 004170029 1 1
00000543 bc29082529 8cca93380c 0683450 0 ffc90d329f ffa2af138e bc5ffaf28a 8d27e4247e 1e48699 1d1578a 000cf5a7e 1 1
00000544 84b6080acc 2739626387 0333a37 0 ffcd44be58 001023df64 84e8c34c74 27293e8423 1e6a25f 00811f0 00069570a 1 1
00000545 592c834d80 c1f1657da3 0397be4 0 003108bf54 ffdde0690d 58fb7a8e2c c213851496 0188460 1eef035 0008cc460 1 1
00000546 39a63eef56 f25f973cfe 0f44b9d 0 00f7122a36 ffc5998c11 38af2cc520 f299fdb0ed 07b8915 1e2ccc6 0044926f8 1 1
00000547 493d9ece08 4127ca4c03 0d52dff 0 00a5862e05 0093405c0b 489818a003 409489eff8 052c317 049a02e 002428f7e 1 1
00000548 a97049e39b 6060df795c 08ddbdb 0 ff9d7dc3c9 006dae4498 a9d2cc1fd2 5ff33134c4 1cebee2 036d722 001235566 1 1
00000549 2be53a2731 0665ed32d2 0e99d26 0 00f03d7255 0023046310 2af4fcb4dc 0642e8cfc2 0781eb9 0118232 005791720 1 1
0000054a 086b155071 7704f4251b 0c7caec 0 000ea632ca 00cf1cfa44 085c6f1da7 7635d72ad7 0075319 0678e7d 001bd7b64 1 1
0000054b 10c9767411 c5210e1d56 0c5787a 0 0038463f45 ff3aa626fd 10913034cc c5e667f659 01c2320 19d5313 0035a2e3e 1 1
0000054c 42a86d2fa5 a5b40bee97 049a5b5 0 002d74b960 ffc26c90ba 427af87645 a5f19f5ddd 016ba5d 1e13648 000ae92e3 1 1
0000054d 2b86b2da7c 64057eb6e4 0d3dafb 0 0057da04c5 00c9e133b3 2b2ed8d5b7 633b9d8331 02bed02 064f09a 00204b37c 1 1
0000054e 6eac6735be b1f39ab161 06be489 0 005ba1b78b ffbf614c9a 6e50c57e33 b2343964c7 02dd0dc 1dfb0a6 000d3f44f 1 1
0000054f 4cf3448df3 ef92676ca3 0b4b0e9 0 00b7a42ae6 ffd8cb5fbd 4c3ba0630d efb99c0ce6 05bd215 1ec65b0 00262f137 1 1
00000550 41d46a363d 362b29f925 07af351 0 0062aa39f0 00512ff680 4171bffc4d 35d9fa02a5 031551d 02897fb 0017fb0af 1 1
00000551 c746342686 a80264a8d5 09f6802 0 ffa63d1c27 ff74c419d5 c79ff70a5f a88da08f00 1d31e8e 1ba620d 00195165c 1 1
00000552 94f657de49 e2f5a3c486 00c4bb6 0 fff3aaef9d fffca7747d 9502aceeac e2f8fc5009 1f9d578 1fe53ba 0001d7eb0 1 1
00000553 3c0fff51bc 29a4ad7cf5 0c18785 0 00a54804c8 0072984b83 3b6ab74cf4 2932153172 052a402 0394c26 002c07774 1 1
00000554 3221bcfcf2 1dc9488fbc 0945636 0 0084872cb3 004ebe2474 319d35d03f 1d7a8a6b48 0424396 0275f12 002a4c27b 1 1
00000555 1ccebc53d0 622c295f8b 0c3e813 0 0039531b78 00c35ae671 1c95693858 6168ce791a 01ca98e 061ad73 001fd6b29 1 1
00000556 003550e2a1 9e09624d9c 04397c3 0 0000263ae6 ffb9c171fd 00352aa7bb 9e4fa0db9f 000131d 1dce0b9 000b7906a 1 1
00000557 12f4850a2a a3f818181d 04cea9f 0 00102008d8 ffb1b59b74 12e4650152 a446627ca9 0081004 1d8dace 000d9c76c 1 1
00000558 02316d7e37 86decf35e7 098c7b8 0 0002dfc8fe ff61409250 022e8db539 877d8ea397 0016fe4 1b0a049 0014f80e9 1 1
00000559 c127db0780 ef0884b5b7 0c920a6 0 ff363502d2 ffc9851795 c1f1a604ae ef3eff9e22 19b1a81 1e4c28c 0033603ec 1 1
0000055a 6ca89cc79b e516944775 0a28e06 0 00a3fa3610 ffd7632298 6c04a2918b e53f3124dd 051fd1b 1ebb191 0018254c2 1 1
0000055b fddeab3a63 888c87ebcc 0f254df 0 fffb827674 ff0433a487 fde328c3ef 8988544745 1fdc13b 18219d2 0021ba365 1 1
0000055c f3183e19a8 a545744085 0b2e11a 0 ffe5d2492e ff47f4a7a9 f3326bd07a a5fd7f98dc 1f2e925 1a3fa54 002074c9d 1 1
0000055d c338576047 f52d330b11 01494bf 0 ffeaf15cfa fffc400eaf c34d66034d f530f2fc62 1f578ae 1fe2007 00058b0eb 1 1
0000055e 9f97fc848b 7fff80cf01 0f3b4fe 0 ff67a0908a 00ca4deef8 a0305bf401 7f3532e009 1b3d048 06526f7 001949d70 1 1
0000055f c4536ab8e4 1770e97643 0117762 0 ffef1aedc2 0006a2f6e7 c4644fcb22 176a467f5c 1f78d77 003517b 000487a67 1 1
00000560 6044451b31 1ec7e4c169 0e726e6 0 00e4cef106 004929126c 5f5f762a2b 1e7ebbaefd 0726779 0249489 002607723 1 1
00000561 b240f41b52 1186358844 0a0dc8b 0 ff5ceb56d8 0024c24774 b2e408c47a 11617340d0 1ae75ab 0126124 00218fc6a 1 1
00000562 425563457a 7bff16cc04 04aa249 0 00249621ab 004463fd20 4230cd23cf 7bbab2cee4 0124b11 02231ff 0008d3290 1 1
00000563 49f42c8edb c5659768b2 03bfea3 0 0030dda38c ffd946ff08 49c34eeb4f c58c5069aa 0186ed2 1eca380 000a9279f 1 1
00000564 623f851471 ce664b4059 0faad2a 0 00e88e1369 ff8a985044 6156f70108 cedbb2f015 074470a 1c54c28 0025df4d4 1 1
00000565 367ed622c8 2912713b76 0172b46 0 00133a768f 000e7df418 366b9bac39 2903f3475e 0099d3b 0073efa 0005a53f5 1 1
00000566 ce89887c04 d346c53b74 06ca6dc 0 ffac3efdf0 ffb445555a cedd497e14 d3927fe61a 1d61f7f 1da22ab 001b17a50 1 1
00000567 5495844c17 0742855de4 05091d5 0 00536c78ec 0007290691 544217d32b 073b5c5753 029b63c 0039483 000fc7cf9 1 1
00000568 994a4eaf78 f2d49253b9 0a92985 0 ff51a10a69 ffe9a44e4a 99f8ada50f f2eaee056f 1a8d085 1f4d227 001b29cdc 1 1
00000569 e3224ce03f 2b86360858 0d175ca 0 ff87b01f02 00b5682600 e39a9cc13d 2ad0cde258 1c3d810 05ab413 0042afe98 1 1
0000056a 8974a69d1f fc40d705df 0047bcd 0 fffb57c42b ffffda5175 89794ed8f4 fc40fcb46a 1fdabe2 1ffed29 0000a0eaa 1 1
0000056b 45c8e36c61 8e8bb18c39 0dea84f 0 00793aecc8 ff3ae82a17 454fa87f99 8f50c96222 03c9d76 19d7415 001bcb94a 1 1
0000056c 30a20d913d 4a19132988 0e0ef70 0 008043e5d6 00c36d3bab 3021c9ab67 4955a5eddd 04021f3 061b69e 002a32d52 1 1
0000056d 97685b2e10 238c7b7b3f 0233809 0 ffdd58a916 000bc72edf 978b0284fa 2380b44c60 1eeac55 005e397 00054d178 1 1
0000056e b6013c8611 45bcfb772a 07edc8f 0 ffa00ea6ce 005a6c5427 b6612ddf43 45628f2303 1d00753 02d362a 0014bee89 1 1
0000056f d7a1b9d034 b9a20e2051 0533e4e 0 ffd4f3bc10 ffb4f6492f d7ccc61424 b9ed17d722 1ea79de 1da7b25 00110fe4b 1 1
00000570 db10b2f45a f2db07fa33 053f49b 0 ffadcd1384 ffe2bf353b db62e5e0d6 f2f848c4f8 1d6e68a 1f15f9b 00239bb6b 1 1
00000571 8164163869 c4a733e86e 0f654c4 0 ff1834d8d8 ff93594c32 824be15f91 c513da9c3c 18c1a6c 1c9aca6 001d4ae24 1 1
00000572 f5999e4772 cfb564aceb 07b809d 0 ffe4fa992b ff828777e0 f5b4a3ae47 d032dd350b 1f27d4d 1c143bc 0029923ac 1 1
00000573 44598277fd 6687199a06 0281757 0 00171c49b5 0022aab6e3 4442662e48 66646ee323 00b8e25 011555b 000568f25 1 1
00000574 8da3f95653 d0a343134a 012e9c9 0 ffedd72fd0 fff87aaebf 8db6222683 d0aac8648b 1f6eb98 1fc3d57 00028a6a0 1 1
00000575 7640c1a74e 432c437d6a 013fa4e 0 00120d6229 000a412669 762eb44525 4322025701 00906b1 0052093 00027149b 1 1
00000576 a2fb1b8a24 13d370e452 033272a 0 ffcc021201 000b14db4e a32f197823 13c85c0904 1e60109 0058a6e 0008f168f 1 1
00000577 9c3722c93e 1ea52c5bf7 033071c 0 ffcd4ea2d9 000f918623 9c69d42665 1e959ad5d4 1e6a751 007c8c3 000820dc2 1 1
00000578 c6dad6f50c 567fb08035 05de79b 0 ffca35167b 00516c963c c710a1de91 562e43e9f9 1e51a8b 028b64b 000f0fb34 1 1
00000579 ac16455c0e e1b0e7ccd6 01e7733 0 ffe238dc3c fff53e8f3f ac340c7fd2 e1bba93d97 1f11c6e 1fa9f48 0005ad883 1 1
0000057a eda5e96a96 093ee58f92 0fb0246 0 ff1709d4d4 00755db533 ee8edf95c2 08c987da5f 18b84ea 03aaedb 00cb1b2de 1 1
0000057b b91afcf77f b2fa7c70d7 0dfd87b 0 ff6274d710 ff54d7472c b9b888206f b3a5a529ab 1b13a6c 1aa6ba4 00238e3a3 1 1
0000057c 1b5b19bad8 42cb3ed81d 0b35348 0 0046a1805b 00ac75055d 1b14783a7d 421ec9d2c0 02350c0 0563a83 00294f93c 1 1
0000057d 0d1b17b88f f51243d660 0ee93d4 0 00be6b6558 ff6136a96e 0c5cac5337 f5b10d2cf2 05f35b3 1b09b55 00e87850d 1 1
0000057e 60600ae3fa b8898c6801 03c3aca 0 0032473aef ffdab7e9f8 602dc3a90b b8aed47e09 019239d 1ed5bf5 000858dab 1 1
0000057f 2eb96142d2 eface6d0aa 00b9487 0 000b5c6c7a fffc07d8e6 2eae04d658 efb0def7c4 005ae36 1fe03ec 0003e3f28 1 1
00000580 d5cd319667 8379aa0b06 066f4cb 0 ffdda8f8ad ff9aaa4805 d5ef889dba 83deffc301 1eed47c 1cd5524 000d05368 1 1
00000581 30e383e82e 7af78765a4 034f737 0 001455f36f 00332637c0 30cf2df4bf 7ac4612de4 00a2afa 019931c 0006a7c57 1 1
00000582 7f74de274d 807f324ae4 070abb0 0 0052c7d166 ffad306e14 7f221655e7 80d201dcd0 02963e9 1d69837 000a6445d 1 1
00000583 d1935f6ee8 c4268b72d2 0fa15e3 0 ff60b4f632 ff32a45f00 d232aa78b6 c4f3e713d2 1b05a7b 199522f 0036e65e9 1 1
00000584 6ade7bcfb9 d91390480e 0d16179 0 00cc74bea5 ffb58896c0 6a12071114 d95e07b14e 0663a5f 1dac44b 001e9c3de 1 1
00000585 fa1529f3b2 f43c975c03 0882165 0 ffc06d0685 ff819e44d2 fa54bced2d f4baf91731 1e03683 1c0cf22 00abe6468 1 1
00000586 1b1e920a4d 3a76219f7e 08d5367 0 003dce056b 00853b9ab7 1ae0c404e2 39f0e604c7 01ee703 0429dcd 002476ba1 1 1
00000587 938117ddbc 0b9fb4ab4f 0edffe9 0 ff0a1226b2 001a591512 947705b70a 0b855b963d 1850913 00d2c8b 00244478e 1 1
00000588 1aead87595 a4bbd3f6ba 0c974c8 0 003b398566 ff373130ab 1aaf9ef02f a584a2c60f 01d9cc3 19b9898 0023342ff 1 1
00000589 a5109a7c8b b8eda64907 0669309 0 ffac02bc46 ffbe5b5fda a56497c045 b92f4ae92d 1d6015e 1df2db0 000ec7237 1 1
0000058a 9265a4c7b6 62faa3c23e 0bb3fc7 0 ff6f944c94 00826c01e0 92f6107b22 627837c05e 1b7ca26 0413601 0015152ee 1 1
0000058b 35d0ff657c 84519af716 0f5955a 0 0065d42814 ff15f9f9d3 356b2b3d68 853ba0fd43 032ea14 18afcfd 001e463fe 1 1
0000058c 118034b2ef 0bf0a8330f 0cd73cb 0 00b05fa2fe 00785512a5 10cfd50ff1 0b7853206a 0582fd1 03c2a89 00a13f998 1 1
0000058d 21a7c8282e e05c8ed50e 0ba95b1 0 008d477c91 ff7b30039a 211a80ab9d e0e15ed174 046a3be 1bd9802 00432a438 1 1
0000058e 1abf86f320 19d665c2d0 0df2262 0 00a6c8bc95 00a11b1769 1a18be368b 19354aab67 053645e 0508d8c 0063c3ffa 1 1
0000058f 440fb69b06 f2b21895d0 0021183 0 00021c100f ffff966e5e 440d9a8af7 f2b2822772 0010e08 1ffcb37 00007ef58 1 1
00000590 dccdea1ee2 aff1852b1f 01e7ff5 0 fff33e5850 ffe2fbe3fb dcdaabc692 b00e894724 1f99f2c 1f17df2 0005cc928 1 1
00000591 74033469bd be37337e91 0a53b17 0 00955ea86f ffab4cf16e 736dd5c14e be8be68d23 04aaf54 1d5a679 001499ba8 1 1
00000592 5e5906cfe5 fb83f35ba8 0297d24 0 002b115d38 fffdf3f05a 5e2df572ad fb85ff6b4e 01588af 1fef9f8 00074dbd9 1 1
00000593 11281385fb ff8b3f2920 08ef915 0 0094878720 fffc0d3b4f 10938bfedb ff8f31edd1 04a43c4 1fe069e 008a844e7 1 1
00000594 ff688cafb3 aa2b2edab4 0ad6589 0 fffec20b47 ff4bce2384 ff69caa46c aadf60b730 1ff6106 1a5e712 0021972aa 1 1
00000595 ac52f00ad2 5b37a4f18d 0fffed5 0 ff4c2944d4 00c40bfd95 ad06c6c5fe 5a7398f3f8 1a614a2 06205ff 0022633c2 1 1
00000596 747b981076 a9fb5eb604 051e0c9 0 004473095b ffcd73e852 743725071b aa2deacdb2 0223985 1e6b9f4 000966f3f 1 1
00000597 6f23331c74 79691fe9f2 0010b2a 0 0000bb77dd 0000cccc0e 6f2277a497 7968531de4 0005dbc 0006666 00001afd3 1 1
00000598 5345f65100 5ddf83d621 01dfcd0 0 0014ae420a 0017502954 5331480ef6 5dc833accd 00a5721 00ba815 0003f93b0 1 1
00000599 2071594b43 62ae42091f 0f8f842 0 0050cefd7f 00f5cb50c5 20208a4dc4 61b876b85a 028677f 07ae5a8 0027da549 1 1
0000059a 679c66c795 752192542e 0c345cf 0 00867462fb 0097ffe776 6715f2649a 7489926cb8 0433a31 04bfff4 0014c3541 1 1
0000059b 2a1085df4b ab2ba7b010 0022dcc 0 00010185fc fffdf8aa59 2a0f84594f ab2daf05b7 00080c3 1fefc55 000061f42 1 1
0000059c e7dd1726c4 721ad54179 06fda99 0 ffe7f1a0eb 0071b9bd20 e7f52585d9 71a91b8459 1f3f8d0 038dcdf 000ff262a 1 1
0000059d b38acfdd8d 17471fe2be 0c96d06 0 ff37bf528a 003cf7b531 b453108b03 170a282d8d 19bdfa9 01e7bdb 0029e7f26 1 1
0000059e 13fd8b50bf 2384eb42ea 0cdbe4a 0 0068de4913 00ba54d41e 1394ad07ac 22ca966ecc 0346f25 05d2a6a 0053ef55b 1 1
0000059f a3048e3abc 4984f5cf97 080a6cc 0 ff971fba3b 0052ec739f a36d6e8081 4932095bf8 1cb8fdd 029763a 00120bf11 1 1
000005a0 3b869ff111 bfca50ad7f 026b88f 0 001b5b76a9 ffe27d7702 3b6b447a68 bfe7d3367d 00dadbb 1f13ebc 00075a773 1 1
000005a1 181b83831a 75d233822f 0761fcb 0 00189b9b84 0078443cbd 1802e7e796 7559ef4572 00c4dce 03c221e 00105503e 1 1
000005a2 b53acd839f 8d85ebecb3 04ff2bf 0 ffd290e738 ffba703d97 b5683c9c67 8dcb7baf1c 1e94874 1dd381f 0009b8ec6 1 1
000005a3 1cbd60d9ca 6e6b2d8513 0f5db22 0 00405b8757 00f74345dd 1c7d055273 6d73ea3f36 0202dc4 07ba1a3 0023d441d 1 1
