# alpha beta sine cosine d q back_alpha back_beta
238599 27168 65461 -3140 15705 -239628 238601 27168
-186265 90918 -16533 -63416 157303 -134967 -186263 90918
-38980 185284 57450 -31534 181179 -54983 -38979 185281
146723 10099 15534 -63668 -140147 -44589 146721 10099
-103983 212375 1458 65520 -99233 214636 -103984 212376
218122 -221972 -41029 51104 309055 -36535 218124 -221974
-106010 32879 -65233 -6299 -22538 -108680 -106011 32880
-8298 76328 37324 53869 36649 67466 -8299 76328
-112740 247571 -37941 53436 -235252 136593 -112739 247569
-2802 -79204 13622 -64105 -13722 78057 -2802 -79205
46338 -14907 6549 65208 44616 -19463 46338 -14907
166984 -230258 57535 31380 -122191 -256850 166985 -230258
-207183 -250858 3391 -65448 193925 261241 -207182 -250856
78671 55076 60086 -26167 19084 -94119 78672 55076
-97766 155979 -60719 24661 -181303 -31886 -97766 155978
44177 -224717 -56835 32630 216878 -73574 44176 -224716
-114234 -7095 15753 63614 -112589 20572 -114232 -7095
-120948 234564 30805 57845 3502 263888 -120949 234565
-205452 -245787 -61217 -23398 302941 -104160 -205453 -245789
106914 -66794 -64899 9119 81021 96581 106916 -66795
-173802 89656 -57158 32062 -163223 -107721 -173803 89657
-143781 -218160 1709 -65514 138044 221836 -143783 -218162
141536 -244357 -46677 -46002 74690 272330 141535 -244355
-173436 130191 19577 -62544 204409 -72438 -173438 130192
-193574 -74568 53697 37572 -172074 115855 -193577 -74569
121776 -170854 -58818 28903 207046 33942 121775 -170853
-33628 158132 63633 15680 145494 70486 -33629 158134
-46474 228549 -65458 3191 -230540 -35290 -46473 228547
-118666 188854 -18422 62894 -166969 147884 -118668 188857
-40308 -200946 20987 -62085 -26165 203273 -40308 -200948
103707 243780 53232 -38228 137518 -226437 103709 243783
-86485 116688 38777 52833 -678 145242 -86485 116688
-95670 128214 -61063 -23797 -84724 -135696 -95670 128214
-128214 -154765 -17891 -63047 165595 113885 -128216 -154766
-141786 140371 -65392 4345 -149463 -132168 -141787 140372
-123905 -159251 -57774 -30938 198882 -34051 -123906 -159252
12296 181218 46305 -46376 119340 -136925 12296 181214
172808 75391 18012 63012 186873 24993 172807 75391
-168075 218813 39882 52003 -209 275911 -168072 218809
-235673 -188553 -47637 45007 -24793 -300796 -235670 -188551
-258885 174937 59071 28383 45559 309110 -258886 174937
-230085 -222744 -62943 18253 149848 -283020 -230087 -222745
-123195 161659 64510 -11551 180842 92773 -123195 161659
-96565 -468 -65371 4646 -6379 -96355 -96565 -468
-251863 160494 -64635 10833 -199920 -221871 -251867 160497
-153957 -151910 65467 -3015 -144667 160784 -153959 -151912
63085 -171754 -17091 -63268 -16110 182262 63084 -171753
-135832 124938 64759 10063 102600 153406 -135833 124939
-136551 127048 -62872 18494 -160418 -95148 -136550 127047
-127531 -162883 48032 44585 -206140 -17343 -127529 -162881
-218512 121895 44438 -48169 243260 58574 -218514 121895
103653 -193339 32062 -57158 -184989 117913 103654 -193341
-207262 -183174 4295 65395 -218821 -169197 -207262 -183174
89078 245282 17043 -63281 -22226 -260007 89077 245281
-203847 104581 60480 25242 17999 228401 -203848 104582
33158 -169316 -65326 -5247 166119 46608 33159 -169318
186463 -108599 -22928 61394 212672 -36501 186461 -108598
89051 113777 42616 -49788 6333 -144344 89051 113777
-127973 -206359 -45335 -47325 235162 60490 -127971 -206356
53795 96649 55636 34636 110480 5411 53795 96650
-194630 -193420 -64078 -13745 229937 -149734 -194628 -193417
226872 -99782 5548 65301 217611 -118630 226873 -99783
70658 248694 -57619 -31225 -252316 -56369 70658 248693
-100338 -35909 64443 11922 -53563 92132 -100339 -35909
-171231 256133 -5573 -65299 148831 -269768 -171233 256136
109117 -96282 13745 64078 86496 -117025 109116 -96281
-45662 -122456 55781 34401 -128197 -25414 -45662 -122455
-22431 135377 60971 24031 117722 70509 -22431 135376
40959 -197846 38736 52863 -83901 -183797 40959 -197846
-206518 31564 40970 -51151 180920 104469 -206518 31564
-227039 111618 -35464 55111 -251324 -28997 -227037 111617
-85698 -41360 -3843 65423 -83125 -46314 -85698 -41360
-19889 -165481 -47238 -45426 133064 100367 -19889 -165481
243258 -210593 -6599 65203 263227 -185029 243258 -210594
55375 -179014 65531 804 -178321 -57567 55375 -179014
-182509 181789 47964 44659 8677 257452 -182509 181789
-78976 -144183 58550 29443 -164295 5781 -78977 -144184
-236184 125325 -64131 -13499 -73989 -256935 -236187 125326
-103330 -206744 -62020 -21177 229042 -30980 -103329 -206743
243212 210639 -43223 -49262 -321740 2073 243212 210639
75260 -112182 37303 53883 -1976 -135073 75259 -112180
-144239 -209923 -60999 23961 142654 -211005 -144241 -209925
161418 96046 51479 -40557 -24449 -186233 161418 96046
-242377 -186853 -64177 13278 133871 -275208 -242378 -186854
224203 -25685 -55489 34870 141040 176165 224202 -25685
-18228 123981 -62978 18132 -124185 16786 -18228 123982
-193593 208073 -23187 61297 -254688 126120 -193592 208072
250053 -255168 -65139 -7199 226154 276568 250050 -255164
-237526 95275 -31115 57679 -254284 -28919 -237528 95276
-194450 -249572 -64892 9168 219917 -227452 -194452 -249575
174367 -32711 -2940 -65470 -172724 40500 174367 -32711
-256186 4352 59562 -27337 110818 231018 -256185 4352
-85026 -216153 35654 54989 -188938 -135109 -85027 -216155
-243767 -168879 -41108 -51041 295782 -21378 -243772 -168882
48402 138110 -26650 59873 -11942 145858 48403 138111
70298 -221167 -34551 -55689 56865 224997 70299 -221170
-108848 -132095 65497 -2261 -128261 113341 -108849 -132095
-129304 186260 -3693 -65432 118603 -193251 -129305 186261
94597 -185859 63202 -17334 -204260 -42069 94597 -185858
159937 -142998 34955 -55435 -211557 35652 159934 -142995
-214361 45164 -49575 42863 -174365 -132615 -214358 45164
173000 -34090 61090 23727 30857 -173606 173000 -34090
-121658 -80474 -9890 -64786 132410 61194 -121660 -80476
-8885 33169 54069 37034 22344 26074 -8885 33169
82705 145929 -18735 -62801 -120971 -116196 82705 145929
-60187 245191 -64004 -14089 -226520 -111491 -60187 245193
79483 241700 4119 65406 94516 236225 79482 241697
239266 119300 -29959 58288 158268 215484 239270 119302
185661 156226 -58504 29533 -55797 236141 185659 156224
226679 214186 -16435 -63442 -273149 -150496 226680 214187
85822 2030 -27177 -59635 -78936 33742 85821 2030
15099 -192691 -53363 38044 165665 -99564 15099 -192691
-211224 29666 -39603 52217 -186224 -104004 -211226 29667
-223628 258306 -20271 -62322 132764 -314809 -223627 258305
108836 260312 -61035 -23867 -282070 6560 108834 260308
57369 -181329 39060 52624 -62008 -179796 57369 -181330
88875 221917 -65458 3191 -217325 99575 88875 221915
123008 106534 37674 53625 161894 16459 123009 106534
212194 -124517 65519 -1483 -129286 -209321 212192 -124516
30921 -221429 56848 32608 -176690 -136996 30921 -221430
216145 -8792 -32434 -56948 -183470 114611 216149 -8792
73783 -217404 65517 1558 -215587 -78930 73782 -217401
6481 -173371 -26051 60136 74863 -156509 6481 -173372
-91263 -88140 22575 61525 -116039 -51308 -91263 -88139
249559 -34117 -65064 -7848 3986 251847 249556 -34116
157528 -79278 35696 -54961 -175290 -19316 157526 -79277
-160503 92626 -18156 62971 -179882 44535 -160504 92626
-257322 190689 65493 -2362 199838 250280 -257318 190686
74136 68360 55873 -34251 19535 -98932 74135 68359
-50470 106891 -41847 50436 -107095 50036 -50470 106891
95555 163094 -49657 -42768 -185935 -34031 95553 163092
175649 246329 -19024 -62714 -239591 -184734 175649 246329
-197341 -190400 64354 -12391 -149654 229781 -197341 -190400
80592 161959 51260 40833 176893 37874 80592 161957
215408 216901 39181 52534 302347 45086 215408 216901
-105534 227483 -56443 33303 -249549 24707 -105533 227480
105532 119285 44824 47809 158573 14840 105530 119283
-74493 -190900 57904 -30694 -133780 155227 -74494 -190902
255084 63581 -63692 15436 -1711 262882 255082 63581
-144463 227376 -35104 55341 -243783 114624 -144462 227374
172814 15046 -38777 -52833 -148220 90123 172815 15046
-26746 79539 55913 34187 53908 64310 -26746 79540
-199630 -15418 -57096 32171 -84564 -181489 -199628 -15418
-62220 -196926 15069 -63780 15273 205956 -62220 -196926
-238430 -127870 -64936 -8845 158879 -218989 -238427 -127869
-1083 35242 63768 15118 34041 9183 -1083 35241
196925 184379 21676 61848 246826 108870 196927 184381
119547 45206 -59340 27816 9808 127432 119547 45206
177998 -133432 -31974 57207 220476 -29632 177999 -133433
-90472 -23155 -40833 51260 -56337 -74481 -90471 -23155
-124127 -71722 28134 59190 -142897 -11490 -124127 -71722
-113488 -170448 -28406 -59060 176153 104415 -113489 -170449
-211164 -67647 64057 13844 -110727 192109 -211164 -67647
-133477 57967 -64884 -9218 -38616 -140302 -133475 57966
-162284 32279 60538 25103 -32344 162272 -162286 32280
-99578 -193969 44419 48186 -204684 -75126 -99577 -193968
-127687 -93926 -39020 52654 -46665 -151488 -127688 -93927
169383 38210 46501 -46181 -92247 -147111 169386 38210
-25745 -31289 -59499 27474 17614 -36490 -25744 -31289
197310 209812 51260 40833 287044 -23603 197308 209810
-24076 141500 56684 32891 110304 91840 -24076 141498
197504 -194346 57821 30849 -78499 -265736 197502 -194345
-238462 -221538 44971 -47672 21441 324784 -238464 -221541
17456 -138772 7224 65137 2053 -139851 17456 -138773
-24716 -169329 61963 -21343 -152048 78514 -24716 -169328
239817 -251619 54630 36201 -77276 -338899 239816 -251619
-107906 141963 -52773 -38858 -50336 -171065 -107905 141962
45274 198316 -39703 52141 -84123 185210 45275 198318
257219 -176546 31402 -57523 -310362 31712 257219 -176547
-57979 47052 59832 -26742 66615 33733 -57979 47052
143099 -64316 -36868 -54182 -82126 133675 143098 -64315
-77896 213344 -21462 -61922 3734 -227089 -77896 213343
68707 67293 37324 -53869 -18151 -94443 68707 67293
-136620 -44072 40577 -51463 79995 119197 -136619 -44072
3883 -79836 -45172 47482 57842 -55166 3883 -79838
22968 -209409 46518 -46163 -164819 131203 22968 -209408
-74873 133095 14555 -63899 102562 -113142 -74872 133094
168483 203359 -43750 -48795 -261201 -38937 168485 203361
-238130 -59308 -53349 38064 -90029 -228294 -238131 -59308
154334 -173076 -33065 56583 220572 -71565 154332 -173074
-122515 160003 36054 54727 -14284 201014 -122514 160002
259036 110873 -63882 14629 -50253 277248 259033 110872
-120235 189953 -14163 -63987 76342 -211447 -120233 189951
-18284 250667 -62677 -19144 -234391 -90710 -18284 250663
242501 238788 -64635 -10833 -275590 199696 242505 238792
-218772 -82694 63372 -16703 -24206 232624 -218773 -82695
-209139 91308 55860 34272 -31542 226010 -209136 91307
156933 167466 -64277 12785 -133634 186588 156934 167467
-36621 -93277 -53290 -38146 97163 24515 -36621 -93276
-93246 67609 -49919 42463 -111915 -27220 -93247 67609
-144331 225203 -54365 36598 -267416 6034 -144331 225203
-260879 121136 65484 2613 110638 265502 -260880 121136
-17610 -66998 -60614 -24917 68662 9185 -17610 -66997
-249421 215007 62228 20557 125917 304274 -249418 215004
223639 -115029 -35781 -54906 -124562 218472 223638 -115028
19175 52228 -64986 -8471 -54268 12263 19175 52227
221810 22609 -65484 -2613 -31435 220733 221811 22609
132273 6439 12193 64392 131162 -18283 132274 6439
-120457 70536 -63814 14922 -96110 -101231 -120455 70535
-211101 217033 -9591 -64830 177065 -245589 -211099 217030
-29770 -155057 -4244 -65398 39749 152803 -29770 -155055
102955 -106141 -13475 64136 122580 -82705 102956 -106142
53593 21253 -29264 58640 38464 42948 53594 21253
-226230 131794 64528 11452 90235 245781 -226233 131796
243074 89931 -65145 7149 -62879 251434 243075 89932
-66979 -199178 -60106 -26121 209371 17958 -66980 -199181
11 -26239 -3994 -65414 1588 26191 11 -26239
31507 -36320 -4420 -65387 -28986 38362 31507 -36320
-136166 13925 63268 -17091 48954 127822 -136165 13925
-197530 -214775 49029 43487 -291751 5261 -197530 -214775
205653 28814 -6023 65259 202136 47592 205656 28814
-154295 -109194 64983 8496 -128275 138837 -154295 -109194
204482 204821 41808 50468 288131 27282 204480 204819
34542 151041 -28429 -59049 -96643 -121106 34542 151041
143451 -179967 53158 38330 -62076 -221614 143451 -179967
207592 -252433 17987 63019 130336 -299714 207590 -252431
-128049 -193040 22834 61429 -187283 -136328 -128047 -193038
237864 233448 6474 -65215 -213638 -255802 237861 233445
-161122 103294 -9939 -64778 143593 -126535 -161122 103295
37062 -109147 50676 41556 -60898 -97868 37062 -109147
-193186 -201832 -20343 -62299 246295 131896 -193188 -201834
152393 115601 54379 -36577 10867 -190969 152393 115601
36587 186913 6474 65215 54872 182383 36586 186910
18135 146747 -33886 -56095 -91399 -116230 18134 146745
-196202 92856 33735 -56186 216008 21388 -196200 92855
-141610 -22230 63728 -15289 11420 142889 -141611 -22230
-147653 242426 32978 56634 -5607 283796 -147653 242425
38848 -146212 20008 62407 -7645 -151091 38848 -146211
114705 -11886 -13794 64068 114637 12523 114705 -11886
163531 -144010 -19168 62670 198500 -89883 163530 -144010
-215379 201754 64532 -11427 236217 176901 -215378 201753
121895 154080 49493 -42958 36461 -193053 121895 154079
159165 41217 46959 -45715 -81493 -142799 159167 41217
87328 -83594 -64993 8421 94123 75863 87329 -83595
-115372 -131231 55913 -34187 -51778 166888 -115373 -131233
-78771 -48171 61577 22433 -72224 57524 -78771 -48170
159862 -90475 -28179 59168 183231 -12947 159860 -90474
167637 153957 25959 -60175 -92941 -207764 167634 153954
-45750 75393 -35654 -54989 -2629 -88149 -45750 75393
15 -240396 -60653 24824 222490 -91044 15 -240399
244840 -252805 19409 62596 158986 -313975 244840 -252805
-221544 112696 43750 48795 -89718 231805 -221546 112698
92449 111577 60518 -25149 67557 -128187 92447 111575
-81061 147518 -26512 -59934 14455 -167701 -81061 147518
-99995 24691 48356 -44234 85711 57116 -99995 24691
-13496 252375 804 -65531 16591 -252190 -13496 252374
115387 117529 14433 -63927 -86671 -140055 115387 117529
192331 -87797 -55715 34508 175912 117279 192330 -87797
260865 -220174 43974 -48593 -341158 -11785 260866 -220175
61855 -257240 61081 23750 -217337 -150873 61855 -257239
-93218 -86096 1659 -65515 91009 88428 -93218 -86096
15140 142700 54125 -36951 109317 -92962 15140 142697
68314 125580 59770 26879 142550 -10798 68314 125579
58388 -176209 30316 58103 -29746 -183233 58389 -176211
49859 -243423 -46801 45877 208738 -134797 49860 -243427
179990 28073 51742 -40221 -88300 -159335 179990 28073
69229 -167566 9094 -64902 -91811 156339 69229 -167567
202956 15508 -43656 48878 141038 146763 202953 15508
-70962 -41608 -57714 31049 3022 -82205 -70962 -41608
-59346 -123568 38452 53070 -120559 -65243 -59347 -123568
53052 167115 -6874 65175 35231 171759 53053 167118
-236782 139282 -64659 -10684 -98817 -256320 -236780 139281
172879 -64833 -35040 -55382 -111429 147221 172879 -64833
-161433 108996 -44530 48084 -192504 -29719 -161434 108997
186736 225753 -36368 54519 30067 291428 186735 225752
-81899 -120650 34037 56004 -132648 -60567 -81898 -120650
155321 -58279 -55098 35485 133097 99027 155321 -58280
73625 -26601 553 -65534 -73847 25979 73626 -26601
-42345 -168146 -47551 45099 92862 -146435 -42345 -168148
26266 96591 65514 -1684 95884 -28739 26266 96590
35458 -192596 20223 62338 -25703 -194139 35458 -192597
-64828 -12374 -62815 18687 -6625 -65665 -64828 -12374
59681 -193028 -25219 60490 129365 -155200 59682 -193031
45335 231857 5573 65299 64888 227163 45336 231859
237187 -6317 -41498 50724 187580 145300 237190 -6317
237608 209197 -27245 59604 129132 289041 237605 209195
-197367 238498 30003 58265 -66283 302394 -197368 238499
75 168465 -62685 19120 -161114 49221 75 168465
-225597 -155194 60710 24684 -228736 150531 -225599 -155195
213224 -81346 23304 61253 170363 -151850 213226 -81347
-260508 127803 34058 -55991 288983 26193 -260506 127802
-104431 -180322 -64461 -11823 196204 -70187 -104432 -180324
-60220 -145736 -65371 4646 141100 -70400 -60220 -145736
27656 -220546 65265 5948 -217124 -47558 27655 -220542
140178 126400 -22504 -61551 -175058 -70579 140178 126399
8151 -256476 -38472 -53055 143962 212416 8151 -256473
-110797 126289 -46994 -45679 -13332 -167474 -110798 126290
-215694 -27282 8346 -65002 210462 54528 -215691 -27281
-80008 177000 -51665 -40320 -90313 -171970 -80008 177000
-73923 87831 15900 -63578 93024 -67272 -73924 87831
-240643 -96799 13327 -64167 215932 143713 -240646 -96800
4576 -101665 22952 -61386 -39891 93625 4576 -101667
174895 73591 -52003 -39882 -164827 93996 174892 73589
11185 -134726 36827 54210 -66455 -117728 11185 -134726
-183603 -149690 -53769 -37469 227785 -65055 -183606 -149692
94623 124916 40042 -51881 1415 -156703 94624 124917
253526 -161211 37900 53465 113600 -278134 253523 -161209
84579 -209058 64684 -10535 -219936 -49873 84580 -209060
113541 -206249 -34401 -55781 11623 235149 113541 -206248
125528 -32248 38432 -53085 -120590 -47492 125530 -32248
218236 258976 -9989 64770 176212 289213 218234 258974
-144082 62746 62936 -18277 100439 120867 -144083 62746
196612 -30237 13180 -64197 -198676 -9922 196612 -30237
143313 -208189 21913 -61764 -204676 148287 143314 -208189
220640 -214724 -61350 -23046 123420 282056 220639 -214723
-112586 104568 -38044 -53363 30971 -150502 -112586 104568
168347 -149970 60576 -25010 -202865 -98374 168347 -149970
42425 6394 -5673 -65290 -42819 -2698 42425 6394
-82913 -199596 52459 39282 -209466 -53268 -82914 -199598
177793 -189229 -33087 56571 249007 -73581 177795 -189231
240671 -172723 -14629 -63882 -196042 222087 240669 -172721
-31150 -83274 58184 30160 -88267 -10668 -31150 -83274
180503 38188 -65535 352 -37218 180705 180502 38188
186351 8475 -65504 -2035 -14257 185997 186349 8475
40939 251318 47861 44769 211504 141783 40939 251316
-13740 198680 64382 -12243 197748 -23618 -13740 198678
150020 -15769 63780 -15069 -49841 -142374 150019 -15769
-74936 -239241 40735 -51339 -90002 233992 -74937 -239245
222861 -135919 63012 -18012 -191936 -176922 222860 -135918
138280 -91545 8720 64953 124869 -109130 138279 -91545
172418 115109 -55409 -34998 -189398 84304 172421 115111
213540 -120306 -7149 -65145 -199142 142882 213540 -120306
-52475 165004 -48761 43787 -157829 71202 -52475 165003
-226051 55917 -63288 17019 -112702 -203776 -226054 55918
130416 -80650 -40715 -51354 -52089 144220 130415 -80650
-176728 -47990 44604 -48015 96818 155442 -176728 -47990
-228632 192110 -17140 -63255 170431 -245219 -228633 192110
75447 68694 26397 -59985 -41388 -93265 75448 68695
-150979 252782 -65448 3391 -260255 -137697 -150978 252781
244531 74969 54337 -36639 -74551 -244657 244528 74968
43573 -96699 -10535 64684 58551 -88437 43573 -96699
217953 9865 -23069 61341 200529 85954 217949 9865
140523 -160937 56095 33886 -65094 -203493 140521 -160935
-132934 -169278 -12465 64340 -98311 -191473 -132935 -169280
-165706 -121825 -31930 -57231 204062 25653 -165704 -121824
-75873 -142377 -65228 -6349 149058 -61723 -75873 -142378
-173104 -25186 -7798 65070 -168876 -45604 -173102 -25186
-107010 256701 63535 -16070 275103 40797 -107009 256700
-28456 -17449 -21557 61889 -21133 -25838 -28456 -17449
-142720 35458 -64415 -12070 -8566 -146809 -142720 35458
-129272 217342 -65497 -2261 -212753 -136693 -129272 217342
-215634 -25148 -57880 30738 -78927 -202238 -215631 -25148
172126 -206746 -35380 55166 256503 -81109 172128 -206750
-128296 -161542 -65375 4596 152148 -139310 -128298 -161544
97845 59587 -53144 38350 8937 114213 97847 59587
240295 66264 -65353 4896 -48127 244574 240296 66264
35268 88578 -37221 -53941 -79336 -52876 35269 88580
-418 258553 -55409 34998 -218823 137721 -418 258556
240486 -103341 -27108 -59667 -176204 193560 240487 -103342
-171663 226393 65015 -8247 246195 141809 -171663 226393
-113329 95230 -11427 64532 -128197 74011 -113328 95230
199179 182068 -63175 -17431 -228486 143578 199177 182066
16736 -95988 8845 64936 3628 -97368 16736 -95987
-95445 57575 15729 -63621 106474 -32985 -95446 57576
157684 -109739 -7947 65052 169827 -89808 157683 -109738
178981 174397 25358 -60431 -97559 -230066 178980 174396
216449 -195629 -43525 48995 291743 -2501 216447 -195628
6024 -115383 47430 -45226 -87663 75265 6025 -115384
64965 -98953 -17067 63275 88493 -78621 64965 -98954
31482 -200910 -62822 18663 201555 -27036 31481 -200907
233089 -246388 59222 28066 -122829 -316149 233088 -246387
153983 19847 47186 -45480 -92570 -124641 153982 19847
-188530 96000 -23984 60990 -210585 20345 -188532 96001
-95887 -231906 2236 65498 -103744 -228500 -95888 -231907
-209734 152904 7423 65114 -191065 175675 -209733 152903
-48893 -117918 63248 -17164 -100996 78069 -48892 -117916
-64658 79327 52323 39462 24400 99388 -64658 79326
245198 15457 45299 -47360 -166510 -180653 245198 15457
69438 -133428 6824 -65180 -82954 125473 69438 -133429
-44039 -44572 -43167 -49311 62495 4530 -44039 -44572
203185 215150 -18229 -62950 -255012 -150144 203186 215152
-89599 -202224 -8895 64930 -61323 -212515 -89600 -202227
135473 -55213 18711 -62808 -145598 14236 135473 -55213
-54579 24510 -36577 54379 -58967 -10124 -54579 24510
16230 55394 -39100 52594 -20024 54138 16230 55394
-234415 -43624 53202 38269 -172298 164824 -234415 -43624
-230805 -158794 -9591 -64830 251558 123306 -230803 -158792
64012 225168 -52247 -39563 -218153 -84898 64012 225169
-198470 172144 -36493 -54435 68995 -253501 -198467 172142
-27885 -210185 56405 33368 -195098 -83017 -27885 -210184
21016 -79713 -29174 -58685 16666 80735 21016 -79714
-203031 211826 -45026 -47620 1994 -293409 -203033 211828
71789 52720 -56456 -33282 -81873 35069 71789 52720
192596 -196317 -21936 61756 247198 -120529 192597 -196318
-14919 -139834 -65532 -704 139986 -13416 -14919 -139833
-10432 197721 54920 35759 160001 116626 -10431 197719
217843 -152370 -44604 -48015 -55899 259899 217842 -152370
-169089 179293 -13844 -64057 127399 -210966 -169089 179293
98910 -5238 7798 65070 97583 -16970 98908 -5238
200652 194605 -18591 -62844 -247615 -129691 200654 194606
8692 236268 65046 -7997 233441 -37458 8692 236266
149657 167529 50211 -42117 32176 -222324 149657 167529
-213165 -186440 -16435 63442 -159599 -233940 -213167 -186441
93400 40782 -62430 -19936 -67261 76568 93400 40781
-35627 103313 -39362 52398 -90536 61204 -35626 103312
-127730 176084 -62971 -18156 -133806 -171513 -127731 176085
109122 33700 -35189 -55288 -110153 30162 109123 33700
106695 17745 -57280 31842 36330 101876 106694 17745
-23170 45871 -35295 -55220 -5181 -51129 -23171 45871
-10396 245563 40458 51557 143417 199602 -10397 245563
-251613 29294 50724 41498 -136651 213294 -251615 29294
149637 134744 26005 -60156 -83886 -183059 149638 134745
-165356 -53031 -65106 7498 33765 -170338 -165357 -53032
-38770 -35157 -24824 -60653 49198 17852 -38770 -35157
130849 100570 49805 -42597 -8619 -164809 130851 100572
220991 -258910 55179 35358 -98764 -325754 220988 -258907
-84271 -35090 -60441 25335 -216 -91285 -84272 -35090
-11201 -87276 -41186 50977 46136 -74927 -11201 -87276
-134323 -137411 42079 -50243 14750 191591 -134324 -137412
-4664 -108805 56186 33735 -95683 -52009 -4664 -108804
-90176 174908 19288 62633 -34704 193700 -90175 174906
193281 -89519 4270 65397 187038 -101922 193282 -89519
-95539 -162030 -12366 -64359 124397 141093 -95540 -162032
177965 205052 -49641 -42787 -271508 928 177964 205051
-92632 48753 -63608 -15778 -25017 -101644 -92631 48752
38371 -254330 65411 4044 -251477 -53992 38371 -254329
78038 -245562 -40419 -51588 90020 241429 78039 -245565
179790 236881 64923 8944 259202 -145780 179791 236882
-187842 82976 -64325 12539 -117383 -168495 -187840 82976
37303 258862 63674 -15509 242680 -97502 37302 258859
-117681 55559 -7523 -65103 110526 -68701 -117682 55560
-194665 167260 -18663 62822 -234235 104898 -194662 167258
229983 64160 -51386 -40675 -193046 140506 229983 64160
-163408 96509 46127 -46554 184005 46458 -163408 96509
-152326 -43704 -63410 -16557 80770 -136343 -152326 -43704
37708 -71882 -42996 49460 75618 -29510 37708 -71882
-246491 215515 -52848 38757 -319562 -71317 -246494 215518
-226928 -113983 7648 65088 -238678 -86721 -226926 -113982
-135171 -1274 -16849 63333 -130300 -35983 -135171 -1274
-241327 130651 -36263 -54589 128723 -242361 -241327 130651
216256 131101 37427 -53797 -102649 -231120 216253 131099
100094 86355 -61333 23093 -45547 124104 100095 86357
122332 95437 -45044 47603 23262 153403 122333 95438
-241920 76080 -44714 47912 -228771 -109437 -241917 76079
100216 134062 -58436 29668 -74171 150048 100215 134062
107334 3631 62943 -18253 -26407 -104099 107335 3631
-46000 162302 -13991 64025 -79589 148740 -46000 162302
-213072 91864 -61914 -21486 -16931 -231414 -213074 91864
76566 97643 10907 64622 91749 83539 76566 97643
171472 -224669 -59212 -28088 129498 251216 171473 -224670
-14729 -226271 -54589 -36263 196625 112934 -14729 -226271
161486 -64457 -43469 -49045 -78098 155349 161487 -64457
87803 245077 -41478 -50740 -223090 -134175 87803 245077
-1961 154287 23680 61108 53920 144571 -1961 154286
-16530 122199 17116 -63262 47871 -113642 -16530 122201
-76728 46512 61823 21747 18416 87815 -76729 46513
25384 -231292 41692 -50564 -166726 162304 25384 -231291
245811 84527 54309 -36681 -67536 -251011 245811 84526
205987 -4762 55125 -35443 -115407 -170689 205988 -4762
1224 79629 -20199 -62346 -25707 -75376 1224 79630
17984 -69847 14555 63899 2022 -72096 17983 -69846
145916 -110619 -65478 -2764 104367 150452 145917 -110620
-109485 240380 -60175 25959 -264084 -5314 -109484 240376
-155879 30815 -63301 -16970 10599 -158542 -155880 30816
93096 -148692 25 -65536 -93153 148656 93096 -148692
-42764 -155391 21510 61906 -91397 -132748 -42764 -155393
167812 89903 37921 -53451 -84847 -170425 167814 89903
137669 -259697 32826 -56722 -249232 155814 137668 -259695
79948 -124299 -64834 -9566 111298 97235 79948 -124299
173522 167861 13819 64062 205015 127497 173520 167859
198198 129040 14040 -64014 -165950 -168504 198195 129039
142813 -261105 -44861 47775 282842 -92584 142813 -261105
202133 204324 62872 -18494 138977 -251576 202131 204321
96743 -201898 57869 30760 -132871 -180188 96744 -201900
240315 -14472 -8596 -64970 -236341 45868 240316 -14472
-86326 -13203 32412 56960 -81559 31219 -86326 -13203
180993 33704 63529 -16095 -11778 -183728 180994 33704
227556 -42035 -62886 -18446 -23713 230186 227553 -42035
-130055 -99948 -60614 24917 42994 -158288 -130054 -99947
251150 199506 62125 20867 269090 -174554 251149 199506
50649 246973 64692 -10485 235689 -89510 50650 246974
-98880 -78755 -61568 -22457 107870 -65906 -98879 -78755
-47215 -144642 -39882 52003 50557 -143507 -47214 -144640
44671 -129092 -61756 21936 136598 -1115 44671 -129092
104231 -115816 65493 2362 -111983 -108337 104230 -115814
-233534 222766 37900 53465 -61692 316790 -233531 222764
54445 148013 -1458 -65520 -57725 -146766 54446 148014
-73577 -94338 -62514 19672 67902 -98502 -73578 -94338
162652 168446 8944 64923 184119 144673 162653 168447
-180145 31773 55900 34208 -66929 170242 -180146 31773
-143668 181270 -65371 4646 -190999 -130456 -143668 181270
-45678 26839 -51789 -40161 6783 -52544 -45679 26839
-177508 88930 11526 -64514 190380 -56324 -177505 88928
41800 -143205 -29645 58448 102057 -108809 41800 -143206
7998 -60427 -37055 -54054 27570 54362 7997 -60426
132740 -74548 64438 -11946 -97495 -116927 132740 -74548
-45984 -141977 21201 -62012 -2418 149219 -45985 -141977
-49401 128670 30338 58091 15775 136922 -49401 128670
42012 -104058 64967 -8621 -108681 -27959 42013 -104060
64897 43583 -38838 52788 26445 73565 64897 43583
-220276 -24735 64501 11600 -63334 212419 -220275 -24735
201926 90209 63894 14580 132872 -176798 201929 90210
-53343 -155490 -41789 -50484 140240 85764 -53343 -155490
248501 -241191 58516 29511 -103455 -330491 248504 -241194
-105172 168922 -18132 -62978 54331 -191427 -105173 168923
154815 146015 59233 28043 198218 -77445 154815 146015
-92736 216879 -56367 -33433 -139227 -190402 -92737 216881
-31211 -198093 -36347 54533 83894 -182145 -31211 -198093
-31620 -57745 -46216 46465 18303 -63240 -31620 -57744
